Steward name,Validator alias,Node IP address,Node port,Client IP address,Client port,Validator verkey,Validator BLS key,Validator BLS POP,Steward DID,Steward verkey
steward1,steward1,steward1.default.svc.cluster.local,steward1_9701,steward1.default.svc.cluster.local,steward1_9702,GqVaKvrFEvyj5ETuupoVoVm3GyjyrKH6xn3qNTg8yqgC,4PmB2arSdS1DQPAAxe6JBLNucHwaoocQba9voLw8pAfYv4KQzs6HAd451Q7LpHWiPns2BytY4sCEU6jLjWJ1fDhhU7jzhYVAZy4hKrpQNqh4swaCdHtPovrAHiUdpoW6fCwCpZxx121Yj3yi4vHk8N8G8j4d1cXWkS9duNTvuprjNjj,QzUsmaTxWnHLnLaBkTG4Ms7sfWNBbfthv8KRjuSpTScFpzT1Yomc3t425NwzxwFZrbDXSzV6ss44GzAQuPuJ4jtr1g3W9nvXHuBve1Za4GzDWAkvsdAcJUhkCP7tN852KLUSkfgZbeXGspBDkVBo5Y63YZ44nWZH5MX5Z5Aa5Zkwwu,8dY7tV7uVKcLkMZX5WmEY9,5ACTDyAj6x9i5zCLhX7Fr4mqJJbHtBqYd4XVD5po3o7E
steward2,steward2,steward2.default.svc.cluster.local,steward2_9701,steward2.default.svc.cluster.local,steward2_9702,FZyn2i3oeWjWtSXTJtcXcwa9GLa4ipahTMpGkso55DrQ,dbk5ym7XxWfFM76EyPDkT3CV3yvXpStvg5JbkD1NRPcbSTFbeaqEV2xqRbU1yDtTcNwGAtTNKYyzbUz6ACNaBEpd5jxCBQvuekEwVZwS1jMkLwCvrPxt1HYwJc19WpdfoKjPgPYNwMtXMuz6FHSzKPoqkkXymwqdvRdiyFrANbF9XQ,R9NxtpMWsmScWNUCURShzjyxZzLNUHrkELvijpVY9JLwh8GEGBqAwPGsuWFaEFwNK4MjDUxtt8BicgpK3bYD9e6RQEjJPJjy9azR3rVWjZceQZwCBNZCnVGGPuMFhsR4CvjgmaQ7xVZWXREUCcQqAmdyyFyUufL9Wkwhi5WSTDUsEF,CtMSvArBSvjTD2DiLxRUKf,7UinxzrAwHedKe6ZicUy7qwDMnj4BJ12ysNiGeYDqUxo
steward3,steward3,steward3.default.svc.cluster.local,steward3_9701,steward3.default.svc.cluster.local,steward3_9702,4t96sapkLMQHeWue4TQbQzN1ZmkR5GhSpfcdj8NPDy7p,4JZJbx3SMtB4jfo32LfwrqnbuZxqUHaCVPZZQB3TSCkBqwtuHc4PcTBFfthUXRpMJrXUqUMFbZC2tNtCdMqasB9EtEqeW8HRvcpHyiX4rhvNQXxzfGfVqw7cpWAKUd3jzDuaUD8ti96eKkwwVTUf2z56yYjHByiSHS5J6Dg4da5q5Rd,RL4ftUsWb21AXfka49RkxRci6xSSzysmJZGKhEg3cxXXCi3Nqoq45w9XFKEzY69RzDH7KGrzCLWsYYWvjeuPsnaC79P1DiwEqAs4gg4mivTTtRbfNcGAREwBWEViRBa4W74sL513xi4L3X61S6SS58imdZh6JJPYHx2qSuoTvNdS9V,V9R318AgGPUWo3H7hD7xEb,GLiqYSfLxvYoYoLzVou84d7fehmjub6UVtTGKQPe2DvH
steward4,steward4,steward4.default.svc.cluster.local,steward4_9701,steward4.default.svc.cluster.local,steward4_9702,BPGQXdqqvCd1655EaDRhEW5w6pMMwLQmWpNCKqVtN4YK,gr3ayYySeFrBKyvVDhvFeA8fPWnBnMWcTaCyVCH8qAgkku9ZJpeT2qyghLtyNbsvVbibVmZN81fCnx5oASy64mk3zN5QE9wn7iWmGL1htRQmZV5KTJC1vjQhmSB6LwG1UBPaDnQ7y9n6MKC26E9kdCf3KYyXaaxxAide2vg8oBGYPh,RQRNGuD6DQVXPKJqU2KvEojDRCmLQBK4HCmHJw9Ys3oMnwrz9hy3Hik5mvL9iDiMXFPgZn5HNGrRz5H25WGUtyFV5o4oarQXVDuV72ymYgaUwEfp6TxP6Hp2Yfkbr4brpW4xKPKAkHbJv39sHBTnAipkQvRDaFQmZJNVgMqj8rKDGj,NdXDMg8YuHLv56i52pu9SG,CnkszoyFMcKtcg4FLnZdPbSuVZvSA5eCa6TW35gEuAEH
